ID,Name,Description,ImageName
1,ëììé,ëììé,event_type_general.gif
69,ëãåøñì,÷áåöú äëãåøñì ùì âáòú áøðø,event_type_general.gif
70,øôú,äôøåú åäùîðåú,event_type_general.gif
71,öáà,ìà ìôöéôéñèéí,event_type_general.gif
150,çãø àåëì,çãø àåëì,event_type_general.gif
151,ñéôåøéí îäáéú,ñéôåøéí àéùééí,event_type_general.gif
152,ñéôåøé çáøéí,ñéôåøéí øàùåðéí,event_type_general.gif
153,ç÷ìàåú,ç÷ìàåú,event_type_general.gif
154,äãéø,äãéø,event_type_general.gif
155,ôøãñ,ôøãñ,event_type_general.gif
156,òâù,"òâ""ù",event_type_general.gif
157,áèçåï,áèçåï,event_type_general.gif
158,÷ìéèä,÷ìéèä,event_type_general.gif
159,îçñï áâãéí,îçñï áâãéí,event_type_general.gif
160,îìçîú äòöîàåú,îìçîú äòöîàåú,event_type_general.gif
161,ôåì÷ìåø,ôåì÷ìåø î÷åîé,event_type_general.gif
162,äôéìåâ,ä'ôéìåâ',event_type_general.gif
163,ñéôåø çééí,ñéôåø çééí,event_type_general.gif
164,àçé âéáåøé äúäéìä,àçé âéáåøé äúäéìä,event_type_general.gif
165,äñèåøéä,äñèåøéä,event_type_general.gif
166,çáøú äéìãéí,çáøú äéìãéí,event_type_general.gif
167,ùéøé çáøéí,çáøéí ëåúáéí,event_type_general.gif
168,ùçéä,ùçéä,event_type_general.gif
169,îåæé÷ä,îåæé÷ä áâáòä,event_type_general.gif
170,äçéðåê äîùåúó,äçéðåê äîùåúó,event_type_general.gif
171,ñôåøè,ñôåøè,event_type_general.gif
172,éí äîìç,ñéôåøé éí äîìç,event_type_general.gif
173,øéîåï,øéîåï,event_type_general.gif
174,îìçîú äòåìí äùðéä,îìçîú äòåìí äùðéä,event_type_general.gif
175,îçùáåú çáøéí,ãáøé çáøéí,event_type_general.gif
176,áðééï,áúéí áâáòú áøðø,event_type_general.gif
177,áéú éùò,áéú éùò,event_type_general.gif
179,úøáåú,"úøáåú, äöâåú åçâéí",event_type_general.gif
180,ðâøéä,ðâøéä,event_type_general.gif
181,äöâåú,äöâåú,event_type_general.gif
182,çâéí,çâéí,event_type_general.gif
183,äöâåú çåõ,çâéí,event_type_general.gif
184,îåæéàåï àåöøåú âáòú áøðø,îåæéàåï,event_type_general.gif
185,àîðåú,àîðåú,event_type_general.gif
186,àåëì,àåëì,event_type_general.gif
187,ôåøåí,ôåøåí,event_type_general.gif
188,"äîçðä, ðåôé äâáòä",äîçðä,event_type_general.gif
189,çáøåú ðåòø,çáøú äéìãéí,event_type_general.gif
190,úòùéä,îù÷,event_type_general.gif
191,îìçîú éåí äëéôåøéí,áèçåï,event_type_general.gif
